name	count
—	71
(Dca	1
(Nc	7
(Nc)	2
(Ncpc	1
(Sc	22
(Sc)	6
(Va	22
2nd	1
a	85
A.	6
A001	1
A041	1
Aaron	2
Abbey	1
Abe	3
Abraham	8
Absent	1
Abuse	2
Academies	1
Academy	22
Access	6
Account	6
Accountability	13
Accounting	1
Aces	1
Acquisition	6
Act	348
Action	4
Activities	5
Acworth	1
Adam	1
Adams	9
Address	3
Aderholt	8
Adjournment	2
Adjusted	2
Administration	94
Administration-General	1
Administrations	2
Administrative	4
Administrator	15
Adrian	2
Advanced	2
Advantage	4
Advisers	1
Advisors	1
Advisory	28
Advocacy	1
Advocate	1
Aeronautics	1
Affair	1
Affairs	85
Affairs-Departmental	1
Affordable	25
Afghanistan	7
Afridi	2
Agencies	5
Agency	24
Agency-Energy	1
Agenda	1
Agent	2
Aginst	1
Agreed	1839
Agreement	3
Agricola	1
Agricultural	5
Agriculture	16
Agriculture--Forest	1
Aguilar	7
Aid	1
Air	17
Aircraft	1
Aircrew	1
Airport	5
Airway	2
Ak)	11
Al	37
Alabama	1
Alan	8
Alaska	7
Alcohol	1
Alert	1
Alexander	2
Alioto	1
Allegiance	302
Allen	3
Allison	2
Almanza	2
Alternative	1
Amanda	1
Amash	8
Amendment	55
America	17
American	14
Americans	3
Americus	1
Amodei	2
Amtrak	9
Analysis	4
Anchorage	1
Anderson-Lee	2
Andrew	3
Andy	8
Angeles	4
Anglican	1
Ann	2
Announcement	1
Annual	1
Anthony	3
Antidiscrimination	2
Antigua	1
Apache	1
Application	1
Appointment	12
Appointments	2
Appraised	1
Appropriations	30
Approval	35
Apr	6
April	47
Arapaho	2
Arboretum	1
Archdiocese	1
Archers	1
Architect	1
Archives	1
Archivist	1
Arctic	1
Area	7
Areas	1
Arizona	4
Arkansas	3
Arlington	1
Armed	17
Arms	1
Army	18
Arpa-E.	1
Article	1
Arts	5
Ashford	5
Ashmawy	1
Ashraf	3
Assault	1
Assembly	4
Assessment	1
Asset	1
Assistance	16
Assistant	7
Association	1
Assyrian	1
Atlantic	2
Atmospheric	2
Atomic	2
Attack	6
Attorney	6
August	9
Augustine	1
Austin	8
Authority	9
Authorization	10
Authorizes	2
Authorizing	1
Availability	1
Avenue	6
Aviation	2
Awa	1
Award	4
Awardee	4
Az	5
Az)	2
Azov	1
b	305
B.	16
Babin	13
Backlog	1
Badillo	1
Baga	1
Baird	1
Balanced	3
Balart	1
Band	3
Bank	16
Baptist	8
Barbara	6
Barletta	12
Barnes	2
Barry	1
Barton	11
Bass	5
Bat	1
Batf	4
Battalion	1
Bay	9
Bayside	1
Bb	1
Bean	1
Bear	1
Beatty	3
Becerra	10
Beetle	1
Belarus	2
Belinda	2
Belmont	2
Beloved	1
Ben	3
Benefit	1
Benefits	4
Benghazi	6
Benishek	12
Benjamin	3
Bera	2
Bermuda	1
Bernice	1
Bethel	1
Beutler	2
Beyer	34
Bezet	1
Bhanu	1
Bible	1
Biden	1
Biggert	2
Bilirakis	1
Bill	14
Billy	2
Binyamin	1
Birchfield	1
Bird	5
Bishop	24
Black	19
Blackburn	35
Blake	3
Blecker	1
Blom	1
Bloody	2
Blue	1
Blumenauer	21
Board	74
Bob	2
Boehner	9
Bohlman	1
Bonamici	27
Booth	1
Bordallo	1
Border	7
Bost	2
Boulevard	1
Boustany	6
Bowling	1
Box	1
Boyle	1
Bpar	1
Bradenton	1
Bradley	3
Brady	16
Brady(	1
Branch	2
Brat	5
Brehm	1
Brentwood	1
Brewington	1
Brian	1
Bridenstine	11
Bridge	2
Brigadier	1
British-American	3
Brondon	1
Bronx	1
Brookes	1
Brooks	26
Brown	12
Brownley	24
Brownsville	1
Bruce	2
Bryan	1
Bryson	1
Buchanan	3
Buck	14
Bucshon	1
Bud	2
Buddy	4
Budget	23
Building	11
Buildings	1
Burbank	1
Bureau	31
Burgess	34
Burma	2
Burundi	2
Burying	1
Bus	1
Business	134
Busniess	1
Bustos	6
Butterfield	10
By	3
Byrne	24
c	30
C.	2
C.f.r.	1
Ca	60
Ca.	5
Cable	1
Calendar	3
California	40
Call	8
Calvary	1
Calvert	22
Camens	1
Camp	1
Campaign	1
Canada-U.s.	1
Canada-United	1
Cannon	1
Cape	1
Capital	15
Capitol	27
Capps	21
Capture	1
Capuano	1
Car	1
Cara	1
Carbon	5
Card	1
Carden	1
Cardenas	3
Care	37
Cargo	1
Carl	3
Carlos	4
Carney	2
Carolina	9
Carolyn	1
Carrier	2
Carriers	1
Carson	8
Carson(	1
Carter	18
Cartwright	20
Cash	2
Cassidy	8
Castillo	1
Castor	17
Castor(Fl	2
Castro	26
Castro(	2
Catcher	1
Cathedral	1
Catholic	6
Cathy	2
Caucus	8
Caulk	2
Cayman	1
Cbc	1
Cdc	1
Cedar	1
Ceiling	2
Cell	1
Census	2
Censuses	2
Centennial	1
Center	25
Centers	4
Central	25
Ceremony	1
Certainity	1
Certificates	1
Certification	1
Cfpb	3
Cfr	2
Chabot	17
Chaffetz	21
Chair	1382
Chairman	54
Chairwoman	1
Chaka	1
Challenge	1
Chamber	5
Chandra	1
Channel	1
Chapel	1
Chaplain	122
Charge	1
Charlene	1
Charles	7
Charleston	2
Chattanooga	1
Chenault	1
Cheney	1
Chesapeake	1
Chesterfield	2
Chicago	3
Chicken	2
Chief	14
Child	3
Children	2
Childs	1
China	15
Chioce	1
Chisholm	1
Choice	5
Chokepoint	1
Chris	3
Christ	2
Christopher	1
Chu	3
Chuck	5
Church	35
Cia	1
Cicilline	13
Circuit	1
Cities	2
City	4
Civil	7
Clarifi	1
Clark	4
Clark(Ma	1
Class	3
Classification	1
Claude	1
Claudio	1
Clause	99
Clawson	11
Clawson(Fl	2
Clean	8
Clearwater	1
Cleaver	3
Cleburne	1
Clemency	1
Clerk	244
Cleveland	1
Climate	5
Clinic	1
Clinton	1
Cloer	1
Closures	1
Clubshell	1
Clyburn	2
Cmdr	2
Co	3
Co-Chair	1
Co-Chairman	1
Co.	2
Coal	1
Coast	6
Code	152
Coffman	3
Cohen	19
Cole	11
Coleman	3
Collection	1
College	1
Colleges	2
Collins	28
Colloquy	10
Colonel	1
Colorado	8
Columbia	12
Columbus	2
Combat	3
Commerce	31
Commercial	1
Commission	76
Commissioner	4
Committee	1532
Committeee	2
Committees	1
Commodity	8
Common	1
Commonwealth	2
Communications	7
Community	19
Compensation	1
Competes	2
